threshold,val_human_fpr,test_human_fpr,test_macro_recall,test_macro_precision,test_f1,test_tp,test_fp,test_tn,test_fn
0.6409167919192996,0.034782608695652174,0.017391304347826087,0.125,0.9444444444444444,0.22077922077922077,34,2,113,238
0.6435123372212629,0.034782608695652174,0.017391304347826087,0.1213235294117647,0.9428571428571428,0.21498371335504887,33,2,113,239
0.558433216124013,0.06086956521739131,0.02608695652173913,0.5036764705882353,0.9785714285714285,0.6650485436893204,137,3,112,135
0.5589719867829342,0.06086956521739131,0.02608695652173913,0.5,0.9784172661870504,0.6618004866180048,136,3,112,136
0.5592630469327926,0.06086956521739131,0.02608695652173913,0.4963235294117647,0.9782608695652174,0.6585365853658537,135,3,112,137
0.5611191130254779,0.05217391304347826,0.02608695652173913,0.49264705882352944,0.9781021897810219,0.6552567237163814,134,3,112,138
0.5617349052319772,0.05217391304347826,0.02608695652173913,0.4889705882352941,0.9779411764705882,0.6519607843137255,133,3,112,139
0.5618082605331626,0.05217391304347826,0.02608695652173913,0.4852941176470588,0.9777777777777777,0.6486486486486487,132,3,112,140
0.5622619901451392,0.05217391304347826,0.02608695652173913,0.48161764705882354,0.9776119402985075,0.645320197044335,131,3,112,141
0.5623999999915343,0.05217391304347826,0.02608695652173913,0.47794117647058826,0.9774436090225563,0.6419753086419753,130,3,112,142
0.5651969029431455,0.05217391304347826,0.02608695652173913,0.4742647058823529,0.9772727272727273,0.6386138613861386,129,3,112,143
0.5653980725137613,0.05217391304347826,0.02608695652173913,0.47058823529411764,0.9770992366412213,0.6352357320099256,128,3,112,144
0.5660017570301963,0.043478260869565216,0.02608695652173913,0.46691176470588236,0.9769230769230769,0.6318407960199005,127,3,112,145
0.5676889712437041,0.043478260869565216,0.02608695652173913,0.4632352941176471,0.9767441860465116,0.628428927680798,126,3,112,146
0.5676970840892925,0.043478260869565216,0.02608695652173913,0.45955882352941174,0.9765625,0.625,125,3,112,147
0.5679486897487781,0.043478260869565216,0.02608695652173913,0.45588235294117646,0.9763779527559056,0.6215538847117794,124,3,112,148
0.569836561000189,0.043478260869565216,0.02608695652173913,0.4522058823529412,0.9761904761904762,0.6180904522613065,123,3,112,149
0.5700595766835418,0.043478260869565216,0.02608695652173913,0.4485294117647059,0.976,0.6146095717884131,122,3,112,150
0.5708747759857523,0.043478260869565216,0.02608695652173913,0.44485294117647056,0.9758064516129032,0.6111111111111112,121,3,112,151
0.5715149267733579,0.043478260869565216,0.02608695652173913,0.4411764705882353,0.975609756097561,0.6075949367088608,120,3,112,152
