browser_log,flow_id,decision,risk_score,rule_score,model_score,context_score,rules_triggered
logs\macro_v2\20260213_perf001_flow_20260213_887hb4_success.json,flow_20260213_887hb4,allow,0.24432658,0.00000000,0.61081644,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_8ey3se_success.json,flow_20260213_8ey3se,allow,0.19109654,0.00000000,0.47774134,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_8f2oev_success.json,flow_20260213_8f2oev,allow,0.26155242,0.00000000,0.65388105,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_8s2ueh_success.json,flow_20260213_8s2ueh,allow,0.25420269,0.00000000,0.63550672,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_906qcd_success.json,flow_20260213_906qcd,allow,0.23595349,0.00000000,0.58988374,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_92znac_success.json,flow_20260213_92znac,allow,0.25058599,0.00000000,0.62646498,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_97y5uq_success.json,flow_20260213_97y5uq,allow,0.27079203,0.00000000,0.67698007,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_9akdtc_success.json,flow_20260213_9akdtc,allow,0.21631207,0.00000000,0.54078017,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_9tf34o_success.json,flow_20260213_9tf34o,allow,0.27642989,0.00000000,0.69107472,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_9vpnpo_success.json,flow_20260213_9vpnpo,challenge,0.33265519,0.00000000,0.83163797,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_adeyx0_success.json,flow_20260213_adeyx0,allow,0.25105244,0.00000000,0.62763110,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_afh6fn_success.json,flow_20260213_afh6fn,allow,0.27459566,0.00000000,0.68648915,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_akxflk_success.json,flow_20260213_akxflk,allow,0.26836046,0.00000000,0.67090115,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_an7d18_success.json,flow_20260213_an7d18,allow,0.22978090,0.00000000,0.57445225,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_ax6kel_success.json,flow_20260213_ax6kel,challenge,0.34955540,0.00000000,0.87388850,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_axm2wc_success.json,flow_20260213_axm2wc,allow,0.23020298,0.00000000,0.57550745,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_b3axxl_success.json,flow_20260213_b3axxl,allow,0.17906043,0.00000000,0.44765107,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_b8vido_success.json,flow_20260213_b8vido,allow,0.29801114,0.00000000,0.74502786,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_berhc3_success.json,flow_20260213_berhc3,allow,0.26419892,0.00000000,0.66049729,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_bg2f3o_success.json,flow_20260213_bg2f3o,allow,0.26013133,0.00000000,0.65032832,0.00000000,
